time,load_est_x,load_est_y,load_est_z,load_est_vx,load_est_vy,load_est_vz,drone0_est_x,drone0_est_y,drone0_est_z,drone0_est_vx,drone0_est_vy,drone0_est_vz,drone1_est_x,drone1_est_y,drone1_est_z,drone1_est_vx,drone1_est_vy,drone1_est_vz,drone2_est_x,drone2_est_y,drone2_est_z,drone2_est_vx,drone2_est_vy,drone2_est_vz,drone3_est_x,drone3_est_y,drone3_est_z,drone3_est_vx,drone3_est_vy,drone3_est_vz,drone4_est_x,drone4_est_y,drone4_est_z,drone4_est_vx,drone4_est_vy,drone4_est_vz
0.490000,0.291454,-0.032410,0.316508,-2.630531,-0.171316,1.116557,0.553892,-0.012729,1.197087,-0.101617,-0.080327,-0.064491,0.168253,0.572718,1.135532,-0.030303,0.020371,0.033821,-0.480652,0.343741,1.133634,0.007470,-0.031313,-0.231019,-0.450681,-0.353132,1.200899,0.077190,-0.070272,0.030173,0.174300,-0.557025,1.203793,-0.085618,0.038065,0.066388
0.500000,0.264498,-0.034190,0.327953,-2.604937,-0.203621,1.107193,0.552584,-0.012194,1.199743,-0.102473,-0.076404,-0.055043,0.166864,0.573397,1.135270,-0.033485,0.021763,0.032104,-0.480961,0.343886,1.127225,0.006346,-0.029969,-0.242749,-0.449937,-0.352910,1.206377,0.077110,-0.067561,0.044990,0.174444,-0.555197,1.208356,-0.082686,0.042309,0.077547
0.510000,0.237836,-0.036287,0.339318,-2.533969,-0.218156,1.115645,0.551406,-0.011688,1.202230,-0.102915,-0.072730,-0.046475,0.165599,0.574014,1.135020,-0.036177,0.022919,0.030495,-0.481245,0.344026,1.121290,0.005342,-0.028698,-0.252643,-0.449270,-0.352693,1.211479,0.076807,-0.064979,0.058111,0.174593,-0.553531,1.212597,-0.079863,0.045905,0.087324
0.520000,0.211946,-0.038519,0.350774,-2.406426,-0.212652,1.131425,0.555821,-0.011324,1.195442,-0.087359,-0.069611,-0.064059,0.165550,0.573483,1.144022,-0.035284,0.020746,0.054679,-0.483211,0.344479,1.131869,-0.000429,-0.026584,-0.216199,-0.452098,-0.352775,1.199382,0.066534,-0.063356,0.022856,0.171866,-0.555734,1.204074,-0.085374,0.038298,0.061193
0.530000,0.187552,-0.040682,0.362167,-2.037392,-0.192353,0.853643,0.559887,-0.010976,1.189114,-0.073410,-0.066662,-0.079660,0.165512,0.572991,1.152420,-0.034395,0.018771,0.076213,-0.485014,0.344900,1.141786,-0.005509,-0.024645,-0.183066,-0.454704,-0.352838,1.188081,0.057295,-0.061742,-0.008770,0.169382,-0.557762,1.196103,-0.089977,0.031489,0.037652
0.540000,0.167050,-0.042627,0.370617,-1.528909,-0.158763,0.449058,0.563634,-0.010643,1.183213,-0.060899,-0.063872,-0.093475,0.165484,0.572536,1.160255,-0.033513,0.016977,0.095357,-0.486667,0.345291,1.151086,-0.009972,-0.022864,-0.152941,-0.457108,-0.352882,1.177520,0.048984,-0.060143,-0.037116,0.167121,-0.559630,1.188647,-0.093778,0.025395,0.016453
0.550000,0.151803,-0.044220,0.374922,-0.961501,-0.114687,0.042592,0.567087,-0.010324,1.177711,-0.049680,-0.061227,-0.105679,0.165465,0.572114,1.167566,-0.032639,0.015344,0.112343,-0.488184,0.345655,1.159809,-0.013885,-0.021228,-0.125547,-0.459325,-0.352911,1.167650,0.041507,-0.058562,-0.062495,0.165063,-0.561350,1.181672,-0.096872,0.019942,-0.002624
0.560000,0.142372,-0.045356,0.375114,-0.383465,-0.063636,-0.302924,0.570270,-0.010019,1.172580,-0.039621,-0.058719,-0.116430,0.165454,0.571724,1.174388,-0.031776,0.013858,0.127381,-0.489575,0.345993,1.167993,-0.017308,-0.019722,-0.100638,-0.461371,-0.352926,1.158425,0.034780,-0.057001,-0.085190,0.163192,-0.562935,1.175146,-0.099339,0.015064,-0.019777
0.570000,0.138845,-0.045968,0.371825,0.183713,-0.009340,-0.577197,0.573205,-0.009726,1.167796,-0.030605,-0.056338,-0.125869,0.165451,0.571363,1.180754,-0.030926,0.012504,0.140659,-0.490850,0.346309,1.175673,-0.020291,-0.018334,-0.077990,-0.463259,-0.352928,1.149802,0.028728,-0.055464,-0.105452,0.161492,-0.564395,1.169038,-0.101252,0.010704,-0.035186
0.580000,0.141103,-0.046025,0.365771,0.732273,0.044608,-0.797851,0.575910,-0.009446,1.163334,-0.022529,-0.054076,-0.134123,0.165454,0.571028,1.186695,-0.030088,0.011270,0.152345,-0.492019,0.346602,1.182881,-0.022881,-0.017055,-0.057403,-0.465001,-0.352918,1.141741,0.023285,-0.053951,-0.123510,0.159948,-0.565740,1.163321,-0.102676,0.006809,-0.049012
0.590000,0.148948,-0.045533,0.357486,1.255113,0.094999,-0.985460,0.578404,-0.009177,1.159175,-0.015299,-0.051923,-0.141306,0.165462,0.570717,1.192239,-0.029265,0.010145,0.162590,-0.493090,0.346876,1.189648,-0.025120,-0.015874,-0.038694,-0.466609,-0.352899,1.134205,0.018391,-0.052465,-0.139569,0.158548,-0.566980,1.157971,-0.103668,0.003333,-0.061399
