time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
1.200000,1.914955,-0.908381,0.099342,-1.682864,4.473442,0.513471,-0.926234,-4.346277,2.441073,0.495363,1.143692,-2.098909
1.210000,1.903917,-0.923160,0.106507,-1.661725,4.469487,0.437942,-0.793243,-4.376675,2.385400,0.479816,1.121544,-2.049890
1.220000,1.890951,-0.934641,0.112717,-1.639950,4.412435,0.385550,-0.698744,-4.339665,2.267089,0.445479,1.052891,-1.957718
1.230000,1.851514,-0.928434,0.116059,-1.597700,4.246260,0.355547,-0.642126,-4.182342,1.716239,0.324267,0.774255,-1.496949
1.240000,1.782116,-0.900385,0.115820,-1.533567,3.986388,0.346304,-0.621846,-3.922330,1.297838,0.231943,0.559117,-1.148031
1.250000,1.570886,-0.792680,0.104319,-1.352205,3.675740,0.352042,-0.628828,-3.604401,1.334188,0.222008,0.539891,-1.199704
1.260000,1.580940,-0.788447,0.105658,-1.366221,3.458042,0.376553,-0.670432,-3.371466,1.425333,0.217505,0.533073,-1.303878
1.270000,1.611407,-0.784783,0.106676,-1.403341,3.532353,0.439530,-0.781622,-3.416636,1.461223,0.201553,0.496912,-1.359274
1.280000,1.691320,-0.793402,0.109013,-1.489695,3.675696,0.516790,-0.919165,-3.521193,1.478049,0.182069,0.450071,-1.396036
1.290000,1.828490,-0.813502,0.112568,-1.633683,3.696578,0.575681,-1.024647,-3.504765,1.526161,0.166691,0.410916,-1.460318
1.300000,1.974275,-0.819041,0.113593,-1.792772,3.642096,0.613518,-1.092566,-3.419760,1.560279,0.151373,0.368930,-1.508459
1.310000,2.083034,-0.791924,0.109281,-1.923524,3.577233,0.636327,-1.132884,-3.332905,1.560596,0.136493,0.324902,-1.520285
1.320000,2.118865,-0.726707,0.098583,-1.987905,3.560789,0.654279,-1.163124,-3.301254,1.508840,0.122490,0.280678,-1.477435
1.330000,2.069466,-0.633150,0.082783,-1.968491,3.449698,0.642794,-1.139374,-3.192031,1.485073,0.116455,0.253535,-1.458630
1.340000,1.965002,-0.534234,0.065233,-1.889860,3.246183,0.605140,-1.067976,-3.005152,1.471919,0.116528,0.239259,-1.447661
1.350000,1.931001,-0.469356,0.050992,-1.872397,3.040811,0.562581,-0.987440,-2.820460,1.538783,0.128065,0.248246,-1.513218
1.360000,1.868659,-0.413538,0.037154,-1.821947,2.851161,0.522165,-0.910980,-2.650770,1.653666,0.149195,0.275425,-1.623728
1.370000,1.746509,-0.362343,0.024118,-1.708338,2.972676,0.540171,-0.936894,-2.768979,1.790778,0.178335,0.317540,-1.753354
1.380000,1.612159,-0.324553,0.013369,-1.579096,3.026553,0.549097,-0.947784,-2.821386,1.917971,0.211850,0.368449,-1.870288
